age,sex
44,2
1,2
15,2
7,1
14,1
14,1
6,1
29,2
15,1
20,2
8,2
18,2
4,2
40,2
0,2
15,2
2,1
25,2
5,2
22,2
31,1
37,2
79,1
0,2
30,2
2,2
25,1
25,1
9,1
6,2
13,1
0,1
4,2
3,1
9,2
4,2
33,1
20,2
26,2
33,1
12,2
10,2
11,1
9,1
11,2
10,1
0,2
52,2
5,1
27,1
13,1
20,1
5,2
10,1
9,1
3,2
15,1
52,2
3,1
19,2
3,1
60,2
59,2
25,2
30,1
1,2
25,1
17,2
1,1
20,1
40,2
20,1
34,2
15,2
0,1
25,1
9,2
40,1
21,2
5,1
3,1
13,2
0,1
50,1
26,2
11,1
27,1
24,1
2,2
8,2
18,2
26,2
4,1
46,1
40,2
10,2
32,1
21,2
0,1
45,1
0,1
3,1
4,2
3,1
4,2
40,2
40,1
33,2
5,1
11,1
5,2
50,1
5,1
8,2
7,1
18,1
3,2
40,2
19,2
11,1
51,2
70,1
13,2
38,1
5,1
42,1
19,1
4,1
12,2
2,1
35,2
30,1
44,1
13,2
26,1
25,1
20,2
3,1
70,1
50,2
5,2
2,1
6,1
13,2
15,2
16,2
20,2
50,2
31,1
1,2
5,2
5,1
20,2
4,2
14,1
0,1
14,1
16,2
32,2
7,1
49,1
1,2
25,1
44,1
10,1
23,1
16,1
20,1
10,1
40,2
16,2
38,1
35,2
19,1
55,2
30,1
2,2
1,1
33,2
4,1
13,1
39,2
7,1
10,1
1,1
40,2
32,1
42,2
16,2
8,1
3,1
1,1
65,2
35,2
10,1
0,1
1,1
16,2
4,2
0,2
5,1
27,1
2,1
5,2
38,1
15,2
10,2
20,2
5,1
11,1
20,2
10,1
14,1
14,1
10,2
5,1
20,2
9,2
1,1
13,1
38,2
44,2
20,2
27,1
20,1
23,1
25,2
29,1
7,2
22,2
38,2
12,1
40,1
62,1
0,2
7,1
7,1
41,1
47,2
1,2
15,1
10,2
20,1
39,1
7,2
37,2
11,1
13,1
14,1
10,2
12,1
49,2
5,2
30,1
8,2
4,2
23,1
6,2
20,2
6,1
0,1
13,2
20,2
2,2
9,2
12,2
30,2
47,1
14,2
30,2
5,2
20,2
11,1
47,2
9,2
37,1
4,2
9,2
3,1
49,2
12,2
20,2
2,2
53,1
2,1
10,1
20,2
25,1
8,2
1,1
2,2
24,2
30,2
0,2
1,1
46,2
3,2
60,2
18,1
7,2
1,1
75,1
1,1
6,1
2,2
40,1
11,1
10,1
8,1
6,2
28,1
21,2
52,2
20,2
55,1
22,2
2,1
40,1
17,2
20,2
13,1
65,1
20,1
49,2
1,1
5,2
74,2
29,1
50,1
20,2
24,2
5,1
0,2
13,1
30,2
19,1
11,1
9,1
28,1
40,1
27,2
29,2
41,2
11,1
27,1
34,2
50,1
3,2
21,2
80,1
20,2
4,1
56,2
6,1
10,2
0,2
17,1
15,2
20,1
6,1
60,1
31,2
30,1
6,1
50,2
44,2
49,1
47,2
5,2
0,1
5,2
10,2
28,1
3,2
20,2
47,1
4,2
5,2
5,2
2,2
4,2
3,2
10,1
17,2
69,1
24,2
29,2
6,1
30,1
5,2
5,2
34,1
0,1
10,1
28,2
3,1
17,1
84,2
92,2
13,1
51,1
5,2
30,2
30,2
40,1
70,1
30,2
25,2
8,1
10,2
40,1
68,1
10,1
9,2
5,2
15,1
15,2
61,2
6,2
40,1
44,1
71,1
48,2
21,2
30,2
27,1
11,2
3,2
4,1
10,2
5,1
21,1
45,1
40,1
16,2
0,1
55,2
27,1
44,2
3,2
9,2
50,2
5,1
3,2
30,2
8,2
30,2
13,2
37,1
5,1
40,2
24,2
23,1
5,2
10,1
1,2
2,1
34,1
9,2
0,1
18,2
52,2
15,2
57,1
20,2
61,1
18,2
14,2
7,1
15,1
35,2
25,1
30,2
15,2
82,1
12,2
20,2
21,2
20,2
0,1
39,1
23,1
3,2
12,2
10,1
34,1
2,1
1,1
12,1
9,1
20,1
13,1
30,1
11,2
41,2
39,2
7,2
27,2
19,2
0,1
56,1
31,1
3,2
28,2
55,1
31,2
40,1
5,1
5,1
7,2
7,2
38,2
44,2
15,2
55,1
15,1
8,1
65,1
5,1
20,2
0,1
21,2
39,1
64,1
20,2
22,2
20,1
0,2
30,2
10,1
12,2
28,2
11,2
9,1
31,1
1,1
45,1
16,2
3,1
31,1
21,2
30,1
9,2
12,1
48,2
25,1
7,1
14,1
35,1
30,2
10,1
40,1
30,1
12,1
5,1
10,1
28,2
52,2
5,2
47,2
9,2
22,2
15,2
29,1
31,1
5,2
14,2
10,1
2,1
20,1
55,1
17,2
6,1
16,1
33,2
63,1
3,1
1,1
3,1
4,2
11,2
9,1
17,2
43,2
53,1
30,2
28,1
25,1
35,2
15,2
56,2
6,2
5,1
5,2
1,1
27,2
14,1
5,1
30,1
25,2
39,1
6,1
49,2
12,1
11,1
16,2
13,2
29,1
80,1
15,1
36,1
30,1
6,2
7,1
67,2
53,1
40,1
5,1
4,1
80,2
4,1
30,1
65,2
48,1
44,1
29,1
10,2
25,1
10,1
30,2
11,1
35,1
40,2
1,2
60,1
50,2
5,2
40,1
23,1
33,1
15,1
55,1
11,2
12,1
20,2
30,2
17,2
27,1
15,1
15,2
15,1
22,1
17,1
60,2
3,1
2,2
2,1
31,2
15,2
1,1
3,1
22,2
0,2
2,2
15,2
14,2
32,2
17,2
2,1
5,2
15,1
5,2
9,2
20,2
7,1
41,2
24,2
17,2
20,1
75,1
24,2
84,2
19,1
36,1
54,2
45,1
40,1
7,1
20,1
25,2
30,2
8,1
44,1
15,2
51,1
15,2
5,2
3,1
24,1
0,1
1,1
3,2
5,2
2,1
12,2
38,2
11,1
32,1
49,1
60,1
40,1
23,2
55,2
12,2
64,1
34,1
11,2
51,2
9,1
50,1
36,1
31,1
14,2
10,2
60,1
4,2
30,1
3,1
26,2
18,1
7,2
27,1
50,1
50,2
3,2
0,2
16,1
12,2
8,1
1,2
45,1
17,1
4,1
73,1
1,1
30,1
10,1
40,2
26,1
8,1
25,2
21,1
7,1
1,1
11,2
40,2
1,1
2,2
51,2
2,1
47,1
0,1
30,2
47,1
14,2
1,2
12,2
39,2
1,2
27,1
69,2
45,1
7,1
7,2
40,2
26,2
26,1
9,1
20,1
60,1
5,1
10,2
4,2
1,1
30,2
4,1
22,2
20,2
10,1
41,1
3,1
10,2
29,1
4,2
0,1
30,2
12,2
39,1
13,2
5,2
3,2
35,1
12,2
19,1
44,2
7,1
9,2
5,1
14,2
36,1
0,1
21,2
20,2
9,2
15,1
5,1
7,1
12,2
2,1
50,1
4,1
42,1
6,2
50,1
5,1
40,1
28,2
30,2
24,2
8,1
2,2
0,1
35,2
29,2
10,2
14,1
24,2
0,1
1,2
0,2
25,1
38,2
30,2
19,1
5,1
32,2
20,1
5,2
11,1
20,1
2,1
47,1
10,1
8,1
9,2
8,2
20,1
1,1
30,1
16,1
37,2
15,2
53,1
45,1
0,2
11,1
8,2
10,2
4,1
35,1
25,1
19,2
2,1
5,1
18,1
30,2
15,1
15,1
1,2
16,2
28,2
36,2
10,1
6,1
13,2
2,2
31,2
56,1
20,2
15,2
60,1
23,1
49,1
16,2
29,1
6,2
37,2
46,2
5,1
60,1
4,1
22,1
8,1
0,2
20,1
60,2
25,1
3,1
3,1
4,2
7,2
28,1
7,1
65,2
1,1
4,1
23,2
3,2
17,1
48,1
8,2
20,1
7,2
14,2
0,1
27,1
11,2
8,2
7,2
65,2
30,2
21,2
3,1
16,2
12,2
16,2
10,1
4,2
31,2
20,2
20,2
88,1
20,2
30,2
5,2
20,2
50,1
15,1
10,2
16,1
27,2
30,2
31,2
40,1
8,1
55,2
15,1
1,2
16,1
20,2
42,1
30,2
35,1
17,1
5,1
2,2
50,2
13,2
3,1
30,2
58,2
26,2
8,2
0,2
18,2
9,2
46,2
15,2
21,1
50,1
1,2
32,1
2,1
7,2
25,1
45,2
30,1
75,2
43,2
2,2
65,2
8,2
33,2
1,1
18,2
24,1
20,2
11,2
21,1
60,2
0,1
11,2
18,1
30,2
80,2
4,2
43,2
0,1
40,2
42,2
10,1
16,1
5,2
34,1
40,1
12,2
16,1
13,2
5,2
60,2
20,2
80,1
52,2
15,2
19,1
8,2
24,2
11,2
55,1
31,2
50,2
0,1
61,2
34,1
1,1
43,2
44,2
50,1
5,2
31,2
11,1
41,2
10,2
30,1
9,2
21,2
6,1
16,1
64,2
3,2
22,2
18,1
2,1
30,2
2,1
40,1
21,2
50,1
50,2
20,1
15,1
49,1
28,2
6,1
11,2
20,1
14,2
5,2
0,2
20,1
29,1
63,1
48,1
60,2
42,2
37,1
7,2
3,1
1,2
0,1
40,1
4,2
5,2
15,1
12,1
2,2
4,1
24,2
8,2
20,2
38,2
9,1
72,2
84,2
11,1
4,1
26,2
18,1
4,2
0,2
22,2
20,2
41,2
31,1
12,2
15,1
11,1
58,1
20,2
10,2
60,2
35,1
37,1
6,2
4,1
10,1
10,1
5,1
5,2
57,1
1,1
80,2
8,2
61,1
10,2
36,1
40,1
6,1
21,2
0,1
7,2
23,2
4,1
8,1
31,2
18,1
4,1
6,2
8,2
1,2
50,2
9,2
52,2
3,1
35,1
8,1
5,2
40,2
25,2
55,1
31,2
9,2
4,1
12,1
4,1
3,2
25,2
6,2
4,1
60,2
30,2
3,1
18,1
65,1
12,2
55,1
26,1
30,2
22,2
8,1
40,1
16,2
3,1
0,1
66,2
19,2
20,1
30,1
46,2
52,2
12,2
5,2
5,2
38,2
16,1
1,2
30,2
25,1
4,2
20,2
9,1
19,1
4,1
6,1
15,1
41,2
50,1
20,1
16,1
60,2
8,2
8,2
14,2
6,2
45,2
25,2
46,2
49,2
6,2
7,1
20,1
75,2
30,2
0,2
11,1
5,2
53,1
15,2
10,1
17,1
1,2
64,2
8,2
64,2
8,2
87,2
55,2
17,2
30,2
0,2
0,1
5,1
0,1
1,1
5,2
2,2
35,1
24,2
27,2
7,1
35,1
44,2
13,2
38,1
16,1
2,2
10,2
60,2
29,2
1,1
23,1
50,2
8,1
7,2
25,1
6,2
20,2
36,1
40,2
1,1
14,2
57,2
1,1
46,1
13,1
21,1
17,1
12,1
12,2
28,2
37,1
22,2
16,1
54,1
20,1
9,2
10,1
10,1
4,1
14,2
26,2
14,1
0,1
31,1
15,2
30,2
13,2
64,1
7,1
70,1
22,1
1,1
3,2
7,2
7,2
23,2
15,2
17,2
49,2
18,1
40,1
40,1
23,1
0,2
12,2
15,2
19,2
30,2
42,1
15,2
4,2
20,1
0,2
5,2
15,1
39,2
5,2
70,2
23,1
31,2
5,2
55,2
9,1
45,2
30,2
3,1
44,1
31,2
67,2
30,2
8,1
4,2
19,1
5,1
13,1
17,1
13,2
32,1
16,2
8,1
2,2
2,2
5,1
30,2
21,1
50,1
56,1
7,1
11,2
16,2
9,2
21,1
13,2
5,2
33,1
70,2
25,2
44,1
11,1
21,2
20,2
9,1
3,2
15,1
2,2
2,1
0,2
15,2
20,2
12,1
42,1
41,2
1,1
3,1
48,1
51,2
18,2
19,1
8,1
20,1
7,2
58,2
50,2
14,2
85,2
9,1
15,2
5,1
4,1
12,1
0,2
63,1
56,2
28,2
15,2
23,1
5,2
25,1
10,2
19,1
16,2
11,1
37,2
2,1
13,1
38,1
16,1
75,2
10,2
30,1
30,2
2,1
3,1
32,1
5,2
35,2
15,1
10,1
36,2
10,2
3,1
2,2
20,1
16,2
1,1
5,2
26,2
10,1
12,2
